lvl,hp,attack,defense,sp_attack,sp_defense,name
9,4221,352,136,60,95,Absol
9,5997,223,104,266,79,Blissey
9,4941,278,178,56,137,Charizard
9,3929,247,127,58,76,Cinderace
9,4517,196,158,331,105,Cramorant
9,5971,245,293,58,201,Crustle
9,5190,203,104,295,79,Eldegoss
9,4339,246,180,47,136,Garchomp
9,4096,179,74,324,60,Gardevoir
9,4905,243,133,290,97,Gengar
9,3929,283,127,58,76,Greninja
9,4877,277,205,59,158,Lucario
9,4953,287,250,56,163,Machamp
9,5741,208,212,198,183,Mr.Mime
9,4452,196,91,416,71,Ninetales
9,4516,198,92,418,72,Pikachu
9,5724,207,213,196,182,Slowbro
9,5987,245,294,59,202,Snorlax
9,4293,345,147,57,102,Talonflame
9,4469,196,88,403,69,Venusaur
9,5779,203,271,278,244,Wigglytuff
9,4353,358,158,60,105,Zeraora
