lvl,hp,attack,defense,sp_attack,sp_defense,name
3,3224,204,67,27,47,Absol
3,3598,152,48,66,36,Blissey
3,3341,170,79,23,61,Charizard
3,3124,151,60,25,36,Cinderace
3,3517,145,78,102,52,Cramorant
3,3615,183,120,24,82,Crustle
3,3503,139,48,70,36,Eldegoss
3,3198,156,95,23,72,Garchomp
3,3299,139,39,80,31,Gardevoir
3,3574,173,59,71,43,Gengar
3,3075,167,56,23,34,Greninja
3,3549,186,101,27,78,Lucario
3,3389,175,111,23,72,Machamp
3,3687,161,96,77,83,Mr.Mime
3,3345,141,42,94,32,Ninetales
3,3517,146,45,117,35,Pikachu
3,3519,157,87,67,75,Slowbro
3,3793,188,133,27,92,Snorlax
3,3127,184,65,23,45,Talonflame
3,3395,139,39,79,31,Venusaur
3,3573,139,111,68,99,Wigglytuff
3,3250,195,78,27,52,Zeraora
