lvl,hp,attack,defense,sp_attack,sp_defense,name
11,4704,425,170,76,118,Absol
11,6980,251,128,348,96,Blissey
11,5553,319,216,69,166,Charizard
11,4225,284,154,71,92,Cinderace
11,5002,221,196,442,131,Cramorant
11,6936,269,364,73,250,Crustle
11,5880,229,128,387,96,Eldegoss
11,5507,329,259,69,196,Garchomp
11,4832,216,107,548,85,Gardevoir
11,5414,270,161,374,117,Gengar
11,4255,327,154,74,92,Greninja
11,5522,321,255,74,196,Lucario
11,5551,329,303,69,198,Machamp
11,6737,231,269,257,231,Mr.Mime
11,4906,219,112,548,86,Ninetales
11,5001,223,115,563,89,Pikachu
11,6627,228,264,249,225,Slowbro
11,7050,272,372,74,256,Snorlax
11,4738,407,178,70,124,Talonflame
11,4879,218,107,527,84,Venusaur
11,6681,229,337,364,302,Wigglytuff
11,4887,437,196,76,131,Zeraora
