lvl,hp,attack,defense,sp_attack,sp_defense,name
5,3495,244,86,36,60,Absol
5,4694,184,74,157,56,Blissey
5,3771,199,106,32,81,Charizard
5,3304,174,75,32,45,Cinderace
5,3789,158,99,165,67,Cramorant
5,4692,211,198,39,136,Crustle
5,4274,168,74,173,56,Eldegoss
5,3412,172,110,27,83,Garchomp
5,3440,146,45,124,36,Gardevoir
5,3931,192,79,129,57,Gengar
5,3304,198,75,32,45,Greninja
5,3910,211,129,36,99,Lucario
5,3809,205,148,32,96,Machamp
5,4245,174,128,110,110,Mr.Mime
5,3852,166,65,242,50,Ninetales
5,3788,160,58,199,45,Pikachu
5,4527,180,144,126,124,Slowbro
5,4389,203,177,36,122,Snorlax
5,3440,227,87,32,60,Talonflame
5,3683,154,52,166,41,Venusaur
5,4581,168,184,164,165,Wigglytuff
5,3550,239,99,36,67,Zeraora
