lvl,hp,attack,defense,sp_attack,sp_defense,name
6,3651,267,97,41,68,Absol
6,4955,192,80,179,61,Blissey
6,3905,208,114,35,87,Charizard
6,3376,183,81,35,49,Cinderace
6,3946,166,112,201,75,Cramorant
6,4948,218,217,43,149,Crustle
6,4457,175,80,198,61,Eldegoss
6,3787,200,137,35,103,Garchomp
6,3689,158,56,200,45,Gardevoir
6,4043,198,85,147,62,Gengar
6,3376,208,81,35,49,Greninja
6,4118,225,145,41,112,Lucario
6,3940,214,160,35,104,Machamp
6,4567,181,146,129,126,Mr.Mime
6,3972,172,70,277,54,Ninetales
6,3945,168,65,246,51,Pikachu
6,4767,186,158,140,136,Slowbro
6,4733,212,202,41,139,Snorlax
6,3538,241,94,35,65,Talonflame
6,3773,159,56,193,44,Venusaur
6,4821,175,201,187,181,Wigglytuff
6,3723,265,112,41,75,Zeraora
