lvl,hp,attack,defense,sp_attack,sp_defense,name
1,3000,170,52,20,36,Absol
1,3278,143,40,40,30,Blissey
1,3200,161,70,20,34,Charizard
1,3000,135,50,20,30,Cinderace
1,3292,134,60,50,40,Cramorant
1,3300,175,97,20,67,Crustle
1,3278,130,40,40,30,Eldegoss
1,3050,145,84,20,64,Garchomp
1,3200,134,35,50,27,Gardevoir
1,3456,167,52,50,38,Gengar
1,3000,156,50,20,30,Greninja
1,3250,165,78,20,60,Lucario
1,3250,165,98,20,64,Machamp
1,3225,150,70,50,60,Mr.Mime
1,3197,134,35,51,27,Ninetales
1,3292,134,35,50,27,Pikachu
1,3225,150,70,50,60,Slowbro
1,3300,175,97,20,67,Snorlax
1,3024,170,58,20,40,Talonflame
1,3300,134,35,50,27,Venusaur
1,3278,130,90,40,80,Wigglytuff
1,3002,159,60,20,40,Zeraora
