lvl,hp,attack,defense,sp_attack,sp_defense,name
12,4983,467,189,85,131,Absol
12,7585,269,142,398,107,Blissey
12,5953,346,241,77,185,Charizard
12,4468,309,172,80,103,Cinderace
12,5281,235,218,506,146,Cramorant
12,7530,284,407,82,280,Crustle
12,6305,245,142,444,107,Eldegoss
12,5925,360,289,77,219,Garchomp
12,5109,230,119,632,95,Gardevoir
12,5747,288,179,429,131,Gengar
12,4468,356,172,80,103,Greninja
12,5894,347,284,83,218,Lucario
12,5942,357,338,77,221,Machamp
12,7311,244,302,291,259,Mr.Mime
12,5185,233,125,629,96,Ninetales
12,5280,237,128,647,99,Pikachu
12,7183,241,295,282,252,Slowbro
12,7663,288,417,83,287,Snorlax
12,5029,447,199,79,138,Talonflame
12,5148,232,119,608,94,Venusaur
12,7236,245,377,417,338,Wigglytuff
12,5195,483,218,85,146,Zeraora
