lvl,hp,attack,defense,sp_attack,sp_defense,name
4,3353,223,76,31,53,Absol
4,4467,178,69,138,52,Blissey
4,3434,175,85,25,65,Charizard
4,3304,174,75,32,45,Cinderace
4,3647,151,88,132,59,Cramorant
4,4469,205,182,36,125,Crustle
4,4114,162,69,152,52,Eldegoss
4,3295,163,102,25,77,Garchomp
4,3363,142,42,100,33,Gardevoir
4,3651,177,63,83,46,Gengar
4,3124,174,60,25,36,Greninja
4,3721,198,114,31,88,Lucario
4,3480,181,119,25,77,Machamp
4,3953,167,111,93,96,Mr.Mime
4,3747,161,60,211,46,Ninetales
4,3646,153,51,156,40,Pikachu
4,4318,175,132,114,114,Slowbro
4,4077,195,154,31,106,Snorlax
4,3195,193,70,25,48,Talonflame
4,3457,142,42,98,33,Venusaur
4,4372,162,169,144,151,Wigglytuff
4,3393,216,88,31,59,Zeraora
