lvl,hp,attack,defense,sp_attack,sp_defense,name
15,6000,620,259,118,180,Absol
15,10000,341,200,600,149,Blissey
15,7700,463,350,114,269,Charizard
15,5400,418,250,119,149,Cinderace
15,6301,286,300,739,200,Cramorant
15,9900,344,580,116,400,Crustle
15,8002,310,200,670,149,Eldegoss
15,7750,496,420,114,318,Garchomp
15,6320,291,174,1001,138,Gardevoir
15,7200,364,260,669,189,Gengar
15,5400,482,250,119,149,Greninja
15,7249,440,390,116,300,Lucario
15,7650,479,490,114,320,Machamp
15,9402,293,420,414,361,Mr.Mime
15,6299,289,175,955,135,Ninetales
15,6300,290,175,954,135,Pikachu
15,9400,292,421,411,360,Slowbro
15,9899,345,580,116,400,Snorlax
15,6300,623,290,117,200,Talonflame
15,6321,293,174,962,137,Venusaur
15,9452,310,539,627,482,Wigglytuff
15,6319,649,300,118,200,Zeraora
