lvl,hp,attack,defense,sp_attack,sp_defense,name
7,3823,293,109,47,76,Absol
7,5255,201,87,204,66,Blissey
7,4066,219,124,38,95,Charizard
7,3702,221,108,49,65,Cinderace
7,4118,175,126,240,84,Cramorant
7,5242,226,239,47,164,Crustle
7,4668,183,87,226,66,Eldegoss
7,3955,213,149,38,112,Garchomp
7,3801,164,61,234,49,Gardevoir
7,4177,205,92,169,67,Gengar
7,3702,252,108,49,65,Greninja
7,4347,241,163,46,126,Lucario
7,4097,225,174,38,113,Machamp
7,4921,189,166,150,143,Mr.Mime
7,4110,179,76,317,59,Ninetales
7,4117,177,73,298,57,Pikachu
7,5042,192,174,156,149,Slowbro
7,5111,222,230,46,158,Snorlax
7,3983,303,125,48,87,Talonflame
7,3881,165,61,226,48,Venusaur
7,5097,183,221,213,199,Wigglytuff
7,3913,293,126,47,84,Zeraora
