lvl,hp,attack,defense,sp_attack,sp_defense,name
8,4012,321,122,53,85,Absol
8,5600,211,95,233,72,Blissey
8,4259,232,136,42,104,Charizard
8,3805,233,117,53,70,Cinderace
8,4308,185,141,283,94,Cramorant
8,5581,235,264,52,181,Crustle
8,4911,192,95,258,72,Eldegoss
8,4157,228,163,42,123,Garchomp
8,3935,171,67,275,54,Gardevoir
8,4338,213,101,196,74,Gengar
8,3805,266,117,53,70,Greninja
8,4599,258,183,52,141,Lucario
8,4286,239,191,42,124,Machamp
8,5331,198,188,173,162,Mr.Mime
8,4269,187,83,363,65,Ninetales
8,4307,187,82,355,64,Pikachu
8,5359,199,192,175,164,Slowbro
8,5528,233,260,52,179,Snorlax
8,4124,322,135,52,94,Talonflame
8,4011,172,67,265,53,Venusaur
8,5414,192,244,243,220,Wigglytuff
8,4122,324,141,53,94,Zeraora
