lvl,hp,attack,defense,sp_attack,sp_defense,name
2,3107,186,59,23,41,Absol
2,3427,147,44,52,33,Blissey
2,3264,165,74,21,57,Charizard
2,3034,140,53,21,32,Cinderace
2,3399,139,69,75,46,Cramorant
2,3447,179,108,22,74,Crustle
2,3383,134,44,54,33,Eldegoss
2,3117,150,89,21,68,Garchomp
2,3245,136,37,64,29,Gardevoir
2,3510,170,55,59,40,Gengar
2,3034,161,53,21,32,Greninja
2,3392,175,89,23,69,Lucario
2,3313,170,104,21,68,Machamp
2,3445,155,82,63,71,Mr.Mime
2,3266,137,38,71,29,Ninetales
2,3399,140,40,82,31,Pikachu
2,3362,153,78,58,67,Slowbro
2,3535,181,114,23,79,Snorlax
2,3071,176,61,21,42,Talonflame
2,3343,136,37,63,29,Venusaur
2,3415,134,100,53,89,Wigglytuff
2,3120,176,69,23,46,Zeraora
