lvl,hp,attack,defense,sp_attack,sp_defense,name
10,4451,387,152,58,106,Absol
10,6454,236,115,304,87,Blissey
10,5219,297,195,62,150,Charizard
10,4077,264,139,64,83,Cinderace
10,4748,208,176,384,117,Cramorant
10,6420,256,326,65,224,Crustle
10,5511,215,115,338,87,Eldegoss
10,5159,303,234,62,177,Garchomp
10,4601,204,97,478,77,Gardevoir
10,5136,255,146,328,106,Gengar
10,4077,303,139,64,83,Greninja
10,5184,298,229,66,176,Lucario
10,5225,306,274,62,179,Machamp
10,6215,219,239,226,206,Mr.Mime
10,4663,207,101,477,78,Ninetales
10,4747,210,103,487,80,Pikachu
10,6144,217,237,221,202,Slowbro
10,6493,258,331,66,228,Snorlax
10,4495,373,161,63,112,Talonflame
10,4655,206,97,459,76,Venusaur
10,6199,215,302,318,271,Wigglytuff
10,4607,396,176,68,117,Zeraora
